score,hits,title,year,venue,doi,url,abstract
4,control:2|robotics:2,Nonlinear Model Predictive Controller Design with Obstacle Avoidance for a Mobile Robot,2008,2008 IEEE/ASME International Conference on Mechtronic and Embedded Systems and Applications,10.1109/mesa.2008.4735699,https://doi.org/10.1109/mesa.2008.4735699,
4,control:2|robotics:2,Nonlinear Motion Control of Mobile Robot Dynamic Model,2008,Motion Planning,10.5772/5997,https://doi.org/10.5772/5997,
4,contracts:1|control:2|robotics:1,REAL-TIME SYSTEMS SAFETY CONTROL CONSIDERING HUMAN MACHINE INTERFACE,2008,"Proceedings of the Fifth International Conference on Informatics in Control, Automation and Robotics Service",10.5220/0001498602690274,https://doi.org/10.5220/0001498602690274,
4,perception:2|control:1|robotics:1,Study on robot perception system of multi-sensors information fusion based on fuzzy neural network,2008,2008 7th World Congress on Intelligent Control and Automation,10.1109/wcica.2008.4592802,https://doi.org/10.1109/wcica.2008.4592802,
4,contracts:1|perception:1|control:1|robotics:1,A Robot Control and Augmented Reality Interface for Multiple Robots,2009,2009 Canadian Conference on Computer and Robot Vision,10.1109/crv.2009.32,https://doi.org/10.1109/crv.2009.32,
4,perception:1|control:2|robotics:1,A Sensor-Based Controller for Homing of Underactuated AUVs,2009,IEEE Transactions on Robotics,10.1109/tro.2009.2014496,https://doi.org/10.1109/tro.2009.2014496,
4,control:2|robotics:2,A nonlinear mobile robot modeling applied to a model predictive controller,2009,Proceedings of the 2009 ACM symposium on Applied Computing,10.1145/1529282.1529546,https://doi.org/10.1145/1529282.1529546,
4,perception:2|control:1|robotics:1,Detection and identification of actuator faults in robotic systems based on multiple-model nonlinear state estimation,2009,2009 17th Mediterranean Conference on Control and Automation,10.1109/med.2009.5164623,https://doi.org/10.1109/med.2009.5164623,
4,perception:2|control:1|robotics:1,Multi-Robot Cooperated Sensor Networks Hierarchical Expanding Deployment and Perception Architecture,2009,"2009 International Asia Conference on Informatics in Control, Automation and Robotics",10.1109/car.2009.92,https://doi.org/10.1109/car.2009.92,
4,perception:1|control:2|robotics:1,Recursive log-barrier method for on-line time-optimal robot path tracking,2009,2009 American Control Conference,10.1109/acc.2009.5159938,https://doi.org/10.1109/acc.2009.5159938,
4,perception:1|control:2|robotics:1,Sensor-based Controller Tuning of Robot Manipulators by Real-time Optimization,2009,IFAC Proceedings Volumes,10.3182/20090909-4-jp-2010.00096,https://doi.org/10.3182/20090909-4-jp-2010.00096,
4,perception:2|control:1|robotics:1,A Directional Perception System based on Human Detection for Public Guide Robots,2010,"Journal of Institute of Control, Robotics and Systems",10.5302/j.icros.2010.16.5.481,https://doi.org/10.5302/j.icros.2010.16.5.481,
4,perception:1|control:1|robotics:2,A PERCEPTION SYSTEM FOR ACCURATE AUTOMATIC CONTROL OF AN ARTICULATED BUS,2010,Emerging Trends in Mobile Robotics,10.1142/9789814329927_0125,https://doi.org/10.1142/9789814329927_0125,
4,perception:1|control:1|robotics:2,An intelligent control of non-holonomic mobile robot based on fuzzy perception,2010,ICCAS 2010,10.1109/iccas.2010.5670182,https://doi.org/10.1109/iccas.2010.5670182,
4,control:2|robotics:2,Design of Neural Network Mobile Robot Motion Controller,2010,New Trends in Technologies,10.5772/7584,https://doi.org/10.5772/7584,
4,control:1|robotics:3,Fuzzy Control Based Autonomous Navigation for a Weeding Robot,2010,ROBOT,10.3724/sp.j.1218.2010.00204,https://doi.org/10.3724/sp.j.1218.2010.00204,
4,perception:2|robotics:2,Mobile Robot Positioning Based on ZigBee Wireless Sensor Networks and Vision Sensor,2010,Robot Localization and Map Building,10.5772/9268,https://doi.org/10.5772/9268,
4,perception:1|control:1|robotics:2,Semi-autonomous control of a throwable miniature reconnaissance robot with environment perception,2010,IEEE ICCA 2010,10.1109/icca.2010.5524166,https://doi.org/10.1109/icca.2010.5524166,
4,control:2|robotics:2,A Robotic System with a Hybrid Motion Cueing Controller for Inertia Tensor Approximation in Micro-Manipulations,2011,International Journal of Advanced Robotic Systems,10.5772/45702,https://doi.org/10.5772/45702,"This paper summarizes the development of a robotic system for the approximation of inertia tensor of micro-sized rigid bodies. We described the design and computer-based simulation of a 6-DOF motion platform in our earlier work [ 32 ] that benefits from an anthropological serial manipulator design. In [ 32 ] we emphasized that, in contrast to a standard configuration based on linear actuators, a mechanism with actuator design inspired from an anthropological kinematic structure offers relatively a larger motion envelope and higher dexterity making it a viable motion platform for micromanipulations. After having described the basic design and kinematic analysis of our motion platform in [ 32 ], we now aim to propose an advanced motion cueing algorithm for facilitating the identification of inertial parameters at micron-level. The motion cueing algorithm for achieving high fidelity dynamic simulation is described in this paper using a hybrid force-position-based controller. The inertia t"
4,perception:2|control:1|robotics:1,A discrete computational model of sensorimotor contingencies for object perception and control of behavior,2011,2011 IEEE International Conference on Robotics and Automation,10.1109/icra.2011.5979919,https://doi.org/10.1109/icra.2011.5979919,
4,control:2|robotics:2,A discrete-time stable controller for an omni-directional mobile robot based on an approximated model,2011,Control Engineering Practice,10.1016/j.conengprac.2010.11.008,https://doi.org/10.1016/j.conengprac.2010.11.008,
4,contracts:1|control:2|robotics:1,Application of automobile power window controller for peripheral interface controller,2011,IEEE 2011 10th International Conference on Electronic Measurement &amp; Instruments,10.1109/icemi.2011.6037836,https://doi.org/10.1109/icemi.2011.6037836,
4,control:3|robotics:1,Impedance Controller Tuned by Particle Swarm Optimization for Robotic Arms,2011,International Journal of Advanced Robotic Systems,10.5772/45692,https://doi.org/10.5772/45692,"This paper presents an efficient and fast method for fine tuning the controller parameters of robot manipulators in constrained motion. The stability of the robotic system is proved using a Lyapunov-based impedance approach whereas the optimal design of the controller parameters are tuned, in offline, by a Particle Swarm Optimization (PSO) algorithm. For designing the PSO method, different index performances are considered in both joint and Cartesian spaces. A 3DOF manipulator constrained to a circular trajectory is finally used to validate the performances of the proposed approach. The simulation results show the stability and the performances of the proposed approach."
4,perception:2|control:1|robotics:1,Multi-robot Multiple Hypothesis Tracking for pedestrian tracking with detection uncertainty,2011,2011 19th Mediterranean Conference on Control &amp; Automation (MED),10.1109/med.2011.5983124,https://doi.org/10.1109/med.2011.5983124,
4,perception:1|control:1|robotics:2,On-Tracking Control of Agricultural Mobile Robot Based on Inner Information,2011,2011 International Conference on Computer Distributed Control and Intelligent Environmental Monitoring,10.1109/cdciem.2011.391,https://doi.org/10.1109/cdciem.2011.391,
4,perception:1|robotics:3,Sensor Fusion Techniques in Navigation Application for Mobile Robot,2011,Sensor Fusion - Foundation and Applications,10.5772/16444,https://doi.org/10.5772/16444,
4,perception:1|control:2|robotics:1,Sensor-driven neural controller for self-adaptive collision-free behavior of a snake-like robot,2011,2011 IEEE International Conference on Robotics and Automation,10.1109/icra.2011.5979831,https://doi.org/10.1109/icra.2011.5979831,
4,perception:1|control:2|robotics:1,"The Motion Grammar: Linguistic Perception, Planning, and Control",2011,Robotics: Science and Systems VII,10.15607/rss.2011.vii.007,https://doi.org/10.15607/rss.2011.vii.007,
4,perception:1|control:2|robotics:1,Trajectory Tracking of a Robotic Fish using Hybrid Controller,2011,Intelligent Systems and Control / 742: Computational Bioscience,10.2316/p.2011.744-094,https://doi.org/10.2316/p.2011.744-094,
4,control:3|robotics:1,Utilizing an Adaptive Controller (Azadi Controller) for Trajectory Planning of PUMA 560 Robot,2011,Advanced Materials Research,10.4028/www.scientific.net/amr.403-408.4880,https://doi.org/10.4028/www.scientific.net/amr.403-408.4880,"This research work was devoted to present a novel adaptive controller which uses two negative stable feedbacks with a positive unstable positive feedback. The positive feedback causes the plant to do the break, therefore reaching the desired trajectory with tiny overshoots. However, the two other negative feedback gains controls the plant in two other sides of positive feedback, making the system to be stable, and controlling the steady-state, and transient responses. This controller was performed for PUMA-560 trajectory planning, and a comparison was made with a fuzzy controller. The fuzzy controller parameters were obtained according to the PSO technique. The simulation results shows that the novel adaptive controller, having just three parameters, can perform well, and can be a good substitute for many other controllers for complex systems such as robotic path planning."
4,contracts:1|perception:1|control:2,World leading laser sensor offers 50 kHz measuring speed and integrated controller with Ethernet interface,2011,Sensor Review,10.1108/sr.2011.08731daa.013,https://doi.org/10.1108/sr.2011.08731daa.013,
4,contracts:1|control:2|robotics:1,A Robust Wheel Interface With a Novel Adaptive Controller for Computer/Robot-Assisted Motivating Rehabilitation,2012,ASME/ISCIE 2012 International Symposium on Flexible Automation,10.1115/isfa2012-7250,https://doi.org/10.1115/isfa2012-7250,"TheraDrive is an effective system for post-stroke upper extremity rehabilitation. This system uses off-the-shelf computer gaming wheels with force feedback to help reduce motor impairment and improve function in the arms of stroke survivors. Preliminary results show that the TheraDrive system lacks a robust mechanical linkage that can withstand the large forces exerted by patients, and it lacks a patient-specific adaptive controller to deliver personalized therapy. It is also not capable of delivering effective therapy to severely low-functioning patients. A new low-cost, high-force haptic robot with a single degree of freedom has been developed to address these concerns. The resulting TheraDrive consists of an actuated hand crank with a compliant transmission. Actuation is provided by a brushed DC motor, geared to output up to 23 kgf at the end effector. To enable a human to interact with this system safely, a special compliant element was developed to double as a failsafe torque limi"
4,control:2|robotics:2,A probabilistic fuzzy controller with operant learning for robot navigation,2012,Proceedings of the 10th World Congress on Intelligent Control and Automation,10.1109/wcica.2012.6357901,https://doi.org/10.1109/wcica.2012.6357901,
4,perception:1|control:2|robotics:1,An EtherCAT based real-time centralized soft robot motion controller,2012,"2012 International Symposium on Instrumentation &amp; Measurement, Sensor Network and Automation (IMSNA)",10.1109/msna.2012.6324527,https://doi.org/10.1109/msna.2012.6324527,
4,perception:1|control:2|robotics:1,Backstepping vehicle steering controller using integral and robust control based on dynamic state estimation,2012,2012 IEEE/RSJ International Conference on Intelligent Robots and Systems,10.1109/iros.2012.6386199,https://doi.org/10.1109/iros.2012.6386199,
4,control:2|robotics:2,Building safer robots: Safety driven control,2012,The International Journal of Robotics Research,10.1177/0278364912459665,https://doi.org/10.1177/0278364912459665,"In recent years there has been a concerted effort to address many of the safety issues associated with physical human–robot interaction (pHRI). However, a number of challenges remain. For personal robots, and those intended to operate in unstructured environments, the problem of safety is compounded. In this paper we argue that traditional system design techniques fail to capture the complexities associated with dynamic environments. We present an overview of our safety-driven control system and its implementation methodology. The methodology builds on traditional functional hazard analysis, with the addition of processes aimed at improving the safety of autonomous personal robots. This will be achieved with the use of a safety system developed during the hazard analysis stage. This safety system, called the safety protection system, will initially be used to verify that safety constraints, identified during hazard analysis, have been implemented appropriately. Subsequently it will ser"
4,perception:1|control:2|robotics:1,Design of Descending Order Non Fragile Controller for Quadruped Search-Rescue Robot based on Multi Sensor Information Fusion,2012,International Journal of Advancements in Computing Technology,10.4156/ijact.vol4.issue17.18,https://doi.org/10.4156/ijact.vol4.issue17.18,
4,contracts:1|control:2|robotics:1,Evaluation of a tricycle-style teleoperational interface for children: A comparative experiment with a video game controller,2012,2012 IEEE RO-MAN: The 21st IEEE International Symposium on Robot and Human Interactive Communication,10.1109/roman.2012.6343775,https://doi.org/10.1109/roman.2012.6343775,
4,perception:1|control:2|robotics:1,Fault-tolerant control for safety of discrete event systems,2012,2012 12th International Conference on Control Automation Robotics &amp; Vision (ICARCV),10.1109/icarcv.2012.6485171,https://doi.org/10.1109/icarcv.2012.6485171,
4,perception:1|control:2|robotics:1,Flex Sensor Based Robotic Arm Controller Using Micro Controller,2012,Journal of Software Engineering and Applications,10.4236/jsea.2012.55042,https://doi.org/10.4236/jsea.2012.55042,
4,perception:1|control:2|robotics:1,Integrating an anti-collision system based on laser Time-Of-Flight sensor in an industrial robot controller,2012,IFAC Proceedings Volumes,10.3182/20120905-3-hr-2030.00094,https://doi.org/10.3182/20120905-3-hr-2030.00094,
4,perception:1|control:2|robotics:1,Perception-Based Motion Planning for a Walking Robot in Rugged Terrain,2012,Lecture Notes in Control and Information Sciences,10.1007/978-1-4471-2343-9_10,https://doi.org/10.1007/978-1-4471-2343-9_10,
4,control:3|robotics:1,Reconfigurable Controller Design in Descriptor Systems Obtained from Second Order Dynamic Systems via State Feedback Eigenstructure Assignment,2012,International Journal of Advanced Robotic Systems,10.5772/51894,https://doi.org/10.5772/51894,"this paper proposes a new method for designing a reconfigurable controller for descriptor systems which is obtained from the second order dynamics of a robot control situation. Using mathematical tools the equations of robot control situation have been translated to descriptor systems, thus, after this change the controller has been designed for control performances. The proposed reconfigurable controller can recover the nominal closed-loop performances after fault occurrence in the system. The dynamics of descriptor systems contain infinite and finite elements, so a complete response of descriptor systems can be represented by an eigenstructure which involves finite and infinite elements. In this paper eigenstructure assignment is used to design a reconfigurable controller in general such that the reconfigured system can recover the complete response of a nominal system as much as possible. Finally, an example represents the effectiveness of the new method."
4,perception:1|control:1|robotics:2,Robot Navigation System with RFID and Sensors,2012,2012 International Conference on Computer Distributed Control and Intelligent Environmental Monitoring,10.1109/cdciem.2012.150,https://doi.org/10.1109/cdciem.2012.150,
4,perception:1|control:1|robotics:2,Special issue on micro-UAV perception and control,2012,Autonomous Robots,10.1007/s10514-012-9295-y,https://doi.org/10.1007/s10514-012-9295-y,
4,control:2|robotics:2,Task-Priority Motion Planning of Wheeled Mobile Robots Subject to Slipping,2012,Lecture Notes in Control and Information Sciences,10.1007/978-1-4471-2343-9_7,https://doi.org/10.1007/978-1-4471-2343-9_7,
4,perception:1|control:2|robotics:1,"The Motion Grammar: Linguistic Perception, Planning, and Control",2012,Robotics,10.7551/mitpress/9481.003.0012,https://doi.org/10.7551/mitpress/9481.003.0012,
4,perception:1|control:2|robotics:1,The sensor-controller network of the humanoid robot LOLA,2012,2012 12th IEEE-RAS International Conference on Humanoid Robots (Humanoids 2012),10.1109/humanoids.2012.6651612,https://doi.org/10.1109/humanoids.2012.6651612,
4,perception:1|control:1|robotics:2,Visual Perception based Motion Planning of Mobile Robot using Road Sign,2012,International Journal of Computer Applications,10.5120/7422-0374,https://doi.org/10.5120/7422-0374,
4,contracts:1|control:2|robotics:1,A wireless flipper robot using interface free controller,2013,2013 IEEE 8th Conference on Industrial Electronics and Applications (ICIEA),10.1109/iciea.2013.6566638,https://doi.org/10.1109/iciea.2013.6566638,
4,control:2|robotics:2,"Battery State-Of-Charge Based Altitude Controller for Small, Low Cost Multirotor Unmanned Aerial Vehicles",2013,Journal of Intelligent &amp; Robotic Systems,10.1007/s10846-013-9894-7,https://doi.org/10.1007/s10846-013-9894-7,
4,perception:2|control:1|robotics:1,Control of Foot Trajectory in Perception-Assist with a Power-Assist Robot,2013,"2013 Second International Conference on Robot, Vision and Signal Processing",10.1109/rvsp.2013.58,https://doi.org/10.1109/rvsp.2013.58,
4,perception:1|control:1|robotics:2,"Decoupling behavior, perception, and control for autonomous learning of affordances",2013,2013 IEEE International Conference on Robotics and Automation,10.1109/icra.2013.6631290,https://doi.org/10.1109/icra.2013.6631290,
4,perception:1|control:1|robotics:2,Haptic teleoperation of mobile robots for augmentation of operator perception in environments with low-wireless signal,2013,"2013 IEEE International Symposium on Safety, Security, and Rescue Robotics (SSRR)",10.1109/ssrr.2013.6719329,https://doi.org/10.1109/ssrr.2013.6719329,
4,control:2|robotics:2,Nature inspired chemical optimization to design a type-2 fuzzy controller for a mobile robot,2013,2013 Joint IFSA World Congress and NAFIPS Annual Meeting (IFSA/NAFIPS),10.1109/ifsa-nafips.2013.6608610,https://doi.org/10.1109/ifsa-nafips.2013.6608610,
4,contracts:1|control:2|robotics:1,New approach for industrial robot controller user interface,2013,IECON 2013 - 39th Annual Conference of the IEEE Industrial Electronics Society,10.1109/iecon.2013.6700441,https://doi.org/10.1109/iecon.2013.6700441,
4,perception:1|control:2|robotics:1,Robust Controller Design for a Quadruped Walking Robot,2013,Sensor Letters,10.1166/sl.2013.2907,https://doi.org/10.1166/sl.2013.2907,
